doi,num_authors,num_pages,year,categories
10.1007/s00159-010-0032-2,1,52,2010,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/0004-6256/140/6/1995,15,20,2010,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202244242,58,18,2022,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1017/pasa.2018.25,27,88,2018,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/pasj/psx081,108,34,2017,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/1538-4357/ac4bca,3,29,2021,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1016/j.xinn.2022.100224,27,16,2022,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/acb684,17,11,2023,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.5303/JKAS.2015.48.4.207,3,6,2015,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.5281/zenodo.3758549,15,16,2019,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1088/0004-637X/718/2/963,1,8,2010,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1117/12.857044,14,12,2010,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1117/12.862582,1,12,2010,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1088/0067-0049/210/2/25,1,13,2014,"['astro-ph.EP', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/sty409,3,17,2018,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.3847/1538-4357/aa8666,2,12,2017,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1016/j.jcp.2017.10.024,3,26,2017,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1017/pasa.2019.5,40,46,2019,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1088/1538-3873/aadb77,15,28,2018,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.5281/zenodo.842713,105,312,2017,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1080/00107514.2018.1467648,1,67,2018,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202243964,21,42,2022,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.18716/kups/64624,4,59,2022,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnras/stac3461,5,16,2022,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1080/00107514.2023.2266921,2,25,2023,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnrasl/slu166,3,5,2014,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1086/680521,14,16,2015,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1002/asna.20210068,21,6,2021,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/stac2831,2,21,2023,"['astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/acae8d,22,50,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1088/1538-3873/ac4811,19,17,2021,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/1538-4357/ac7f2c,6,27,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stad981,3,8,2023,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1038/s41550-023-02188-2,31,24,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1088/1538-3873/ad77f3,21,21,2024,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1093/mnras/stx837,25,22,2017,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1016/j.newar.2009.02.001,2,36,2009,"['astro-ph.CO', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1111/j.1745-3933.2010.00945.x,3,5,2010,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1088/0004-637X/813/2/100,7,10,2015,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/stw103,4,14,2016,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1016/j.jms.2016.03.005,5,16,2016,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1088/1538-3873/aabfb6,8,14,2019,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1007/s11207-019-1500-0,5,16,2019,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/201936810,4,17,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.5303/JKAS.2020.53.5.99,1,4,2020,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnras/staa471,6,13,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/staa540,2,10,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/201833774,28,2,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/staa2375,4,24,2020,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/staa3674,12,11,2020,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/staa3682,2,17,2020,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202040077,4,11,2021,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/abf93c,1,18,2021,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-3881/ac1c09,34,11,2021,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
