doi,num_authors,num_pages,year,categories
10.1088/0004-6256/140/6/1995,15,8,2010-10-28 09:01:44+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,5,8,2016-10-05 23:22:05+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR', 'physics.soc-ph']"
,2,8,2019-07-10 03:25:44+00:00,"['physics.soc-ph', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
,80,8,2020-07-05 14:11:03+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202244242,58,8,2022-06-13 18:51:34+00:00,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
,91,8,2024-06-18 13:40:26+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,15,8,2023-11-26 17:36:57+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,14,8,2024-11-27 20:31:48+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1007/s00159-010-0032-2,1,8,2010-07-13 22:49:00+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/pasj/psx081,108,8,2017-07-28 06:24:42+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/1538-4357/ac4bca,3,8,2021-09-16 18:00:01+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1016/j.xinn.2022.100224,27,8,2022-03-27 13:37:12+00:00,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/acb684,17,8,2023-02-02 06:10:49+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
