doi,authors,comments,updated,categories
,"[arxiv.Result.Author('AAS WGLA'), arxiv.Result.Author(':'), arxiv.Result.Author('Nancy Brickhouse'), arxiv.Result.Author('John Cowan'), arxiv.Result.Author('Paul Drake'), arxiv.Result.Author('Steven Federman'), arxiv.Result.Author('Gary Ferland'), arxiv.Result.Author('Adam Frank'), arxiv.Result.Author('Wick Haxton'), arxiv.Result.Author('Eric Herbst'), arxiv.Result.Author('Keith Olive'), arxiv.Result.Author('Farid Salama'), arxiv.Result.Author('Daniel Wolf Savin'), arxiv.Result.Author('Lucy Ziurys')]","Position paper submitted by the AAS Working Group on Laboratory
  Astrophysics (WGLA) to the State of the Profession (Facilities, Funding and
  Programs Study Group) of the Astronomy and Astrophysics Decadal Survey
  (Astro2010)",2009-03-13 19:42:14+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,"[arxiv.Result.Author('Nancy Brickhouse'), arxiv.Result.Author('John Cowan'), arxiv.Result.Author('Paul Drake'), arxiv.Result.Author('Steven Federman'), arxiv.Result.Author('Gary Ferland'), arxiv.Result.Author('Adam Frank'), arxiv.Result.Author('Wick Haxton'), arxiv.Result.Author('Eric Herbst'), arxiv.Result.Author('Keith Olive'), arxiv.Result.Author('Farid Salama'), arxiv.Result.Author('Daniel Wolf Savin'), arxiv.Result.Author('Lucy Ziurys')]","White Paper submitted by the AAS Working Group on Laboratory
  Astrophysics (WGLA) to the National Academy of Science, Space Sciences Board,
  Ad Hoc Committee studying ""The Role and Scope of Mission-Enabling Activities
  in NASA's Space and Earth Science Missions""",2009-03-26 14:08:20+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,[arxiv.Result.Author('Jonathan Arons')],A White Paper submitted to the Astro 2010 Decadal Survey,2009-03-27 19:31:02+00:00,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
,"[arxiv.Result.Author('J. Lazio'), arxiv.Result.Author('J. S. Bloom'), arxiv.Result.Author('G. C. Bower'), arxiv.Result.Author('J. Cordes'), arxiv.Result.Author('S. Croft'), arxiv.Result.Author('S. Hyman'), arxiv.Result.Author('C. Law'), arxiv.Result.Author('M. McLaughlin')]",Astro2010 Decadal Survey Science white paper,2009-04-03 18:35:26+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1007/s00159-010-0032-2,[arxiv.Result.Author('Michael G. Burton')],"Review paper on the field of Astronomy in Antarctica, for publication
  in The Astronomy and Astrophysics Review. 52 pages, 22 figures",2010-07-13 22:49:00+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/0004-6256/140/6/1995,"[arxiv.Result.Author('T. J. W. Lazio'), arxiv.Result.Author('T. E. Clarke'), arxiv.Result.Author('W. M. Lane'), arxiv.Result.Author('C. Gross'), arxiv.Result.Author('N. E. Kassim'), arxiv.Result.Author('P. S. Ray'), arxiv.Result.Author('D. Wood'), arxiv.Result.Author('J. A. York'), arxiv.Result.Author('A. Kerkhoff'), arxiv.Result.Author('B. Hicks'), arxiv.Result.Author('E. Polisensky'), arxiv.Result.Author('K. Stewart'), arxiv.Result.Author('N. Paravastu Dalal'), arxiv.Result.Author('A. S. Cohen'), arxiv.Result.Author('W. C. Erickson')]",20 pages; accepted for publication in AJ,2010-10-28 09:01:44+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
,"[arxiv.Result.Author('Carolyn Brinkworth'), arxiv.Result.Author('Allison Byrd Skaer'), arxiv.Result.Author('Chanda Prescod-Weinstein'), arxiv.Result.Author('Johanna Teske'), arxiv.Result.Author('Sarah Tuttle')]",7 pages,2016-10-05 23:22:05+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR', 'physics.soc-ph']"
,"[arxiv.Result.Author('N. A. Webb'), arxiv.Result.Author('C. Bot'), arxiv.Result.Author('S. Charpinet'), arxiv.Result.Author('T. Contini'), arxiv.Result.Author('L. Jouve'), arxiv.Result.Author('F. Koliopanos'), arxiv.Result.Author('A. Lamberts'), arxiv.Result.Author('H. Meheut'), arxiv.Result.Author('S. Mei'), arxiv.Result.Author('I. Ristorcelli'), arxiv.Result.Author('G. Soucail')]",6 page conference proceedings on well-being in French astrophysics,2022-02-03 18:47:19+00:00,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR', 'physics.soc-ph']"
10.1051/0004-6361/202243511,"[arxiv.Result.Author('Gaia Collaboration'), arxiv.Result.Author('A. Recio-Blanco'), arxiv.Result.Author('G. Kordopatis'), arxiv.Result.Author('P. de Laverny'), arxiv.Result.Author('P. A. Palicio'), arxiv.Result.Author('A. Spagna'), arxiv.Result.Author('L. Spina'), arxiv.Result.Author('D. Katz'), arxiv.Result.Author('P. Re Fiorentin'), arxiv.Result.Author('E. Poggio'), arxiv.Result.Author('P. J. McMillan'), arxiv.Result.Author('A. Vallenari'), arxiv.Result.Author('M. G. Lattanzi'), arxiv.Result.Author('G. M. Seabroke'), arxiv.Result.Author('L. Casamiquela'), arxiv.Result.Author('A. Bragaglia'), arxiv.Result.Author('T. Antoja'), arxiv.Result.Author('C. A. L. Bailer-Jones'), arxiv.Result.Author('R. Andrae'), arxiv.Result.Author('M. Fouesneau'), arxiv.Result.Author('M. Cropper'), arxiv.Result.Author('T. Cantat-Gaudin'), arxiv.Result.Author('U. Heiter'), arxiv.Result.Author('A. Bijaoui'), arxiv.Result.Author('A. G. A. Brown'), arxiv.Result.Author('T. Prusti'), arxiv.Result.Author('J. H. J. de Bruijne'), arxiv.Result.Author('F. Arenou'), arxiv.Result.Author('C. Babusiaux'), arxiv.Result.Author('M. Biermann'), arxiv.Result.Author('O. L. Creevey'), arxiv.Result.Author('C. Ducourant'), arxiv.Result.Author('D. W. Evans'), arxiv.Result.Author('L. Eyer'), arxiv.Result.Author('R. Guerra'), arxiv.Result.Author('A. Hutton'), arxiv.Result.Author('C. Jordi'), arxiv.Result.Author('S. A. Klioner'), arxiv.Result.Author('U. L. Lammers'), arxiv.Result.Author('L. Lindegren'), arxiv.Result.Author('X. Luri'), arxiv.Result.Author('F. Mignard'), arxiv.Result.Author('C. Panem'), arxiv.Result.Author('D. Pourbaix'), arxiv.Result.Author('S. Randich'), arxiv.Result.Author('P. Sartoretti'), arxiv.Result.Author('C. Soubiran'), arxiv.Result.Author('P. Tanga'), arxiv.Result.Author('N. A. Walton'), arxiv.Result.Author('U. Bastian'), arxiv.Result.Author('R. Drimmel'), arxiv.Result.Author('F. Jansen'), arxiv.Result.Author('F. van Leeuwen'), arxiv.Result.Author('J. Bakker'), arxiv.Result.Author('C. Cacciari'), arxiv.Result.Author('J. Castañeda'), arxiv.Result.Author('F. De Angeli'), arxiv.Result.Author('C. Fabricius'), arxiv.Result.Author('Y. Frémat'), arxiv.Result.Author('L. Galluccio'), arxiv.Result.Author('A. Guerrier'), arxiv.Result.Author('E. Masana'), arxiv.Result.Author('R. Messineo'), arxiv.Result.Author('N. Mowlavi'), arxiv.Result.Author('C. Nicolas'), arxiv.Result.Author('K. Nienartowicz'), arxiv.Result.Author('F. Pailler'), arxiv.Result.Author('P. Panuzzo'), arxiv.Result.Author('F. Riclet'), arxiv.Result.Author('W. Roux'), arxiv.Result.Author('R. Sordo'), arxiv.Result.Author('F. Thévenin'), arxiv.Result.Author('G. Gracia-Abril'), arxiv.Result.Author('J. Portell'), arxiv.Result.Author('D. Teyssier'), arxiv.Result.Author('M. Altmann'), arxiv.Result.Author('M. Audard'), arxiv.Result.Author('I. Bellas-Velidis'), arxiv.Result.Author('K. Benson'), arxiv.Result.Author('J. Berthier'), arxiv.Result.Author('R. Blomme'), arxiv.Result.Author('P. W. Burgess'), arxiv.Result.Author('D. Busonero'), arxiv.Result.Author('G. Busso'), arxiv.Result.Author('H. Cánovas'), arxiv.Result.Author('B. Carry'), arxiv.Result.Author('A. Cellino'), arxiv.Result.Author('N. Cheek'), arxiv.Result.Author('G. Clementini'), arxiv.Result.Author('Y. Damerdji'), arxiv.Result.Author('M. Davidson'), arxiv.Result.Author('P. de Teodoro'), arxiv.Result.Author('M. Nuñez Campos'), arxiv.Result.Author('L. Delchambre'), arxiv.Result.Author(""A. Dell'Oro""), arxiv.Result.Author('P. Esquej'), arxiv.Result.Author('J. Fernández-Hernández'), arxiv.Result.Author('E. Fraile'), arxiv.Result.Author('D. Garabato'), arxiv.Result.Author('P. García-Lario'), arxiv.Result.Author('E. Gosset'), arxiv.Result.Author('R. Haigron'), arxiv.Result.Author('J. -L. Halbwachs'), arxiv.Result.Author('N. C. Hambly'), arxiv.Result.Author('D. L. Harrison'), arxiv.Result.Author('J. Hernández'), arxiv.Result.Author('D. Hestroffer'), arxiv.Result.Author('S. T. Hodgkin'), arxiv.Result.Author('B. Holl'), arxiv.Result.Author('K. Janßen'), arxiv.Result.Author('G. Jevardat de Fombelle'), arxiv.Result.Author('S. Jordan'), arxiv.Result.Author('A. Krone-Martins'), arxiv.Result.Author('A. C. Lanzafame'), arxiv.Result.Author('W. Löffler'), arxiv.Result.Author('O. Marchal'), arxiv.Result.Author('P. M. Marrese'), arxiv.Result.Author('A. Moitinho'), arxiv.Result.Author('K. Muinonen'), arxiv.Result.Author('P. Osborne'), arxiv.Result.Author('E. Pancino'), arxiv.Result.Author('T. Pauwels'), arxiv.Result.Author('C. Reylé'), arxiv.Result.Author('M. Riello'), arxiv.Result.Author('L. Rimoldini'), arxiv.Result.Author('T. Roegiers'), arxiv.Result.Author('J. Rybizki'), arxiv.Result.Author('L. M. Sarro'), arxiv.Result.Author('C. Siopis'), arxiv.Result.Author('M. Smith'), arxiv.Result.Author('A. Sozzetti'), arxiv.Result.Author('E. Utrilla'), arxiv.Result.Author('M. van Leeuwen'), arxiv.Result.Author('U. Abbas'), arxiv.Result.Author('P. Ábrahám'), arxiv.Result.Author('A. Abreu Aramburu'), arxiv.Result.Author('C. Aerts'), arxiv.Result.Author('J. J. Aguado'), arxiv.Result.Author('M. Ajaj'), arxiv.Result.Author('F. Aldea-Montero'), arxiv.Result.Author('G. Altavilla'), arxiv.Result.Author('M. A. Álvarez'), arxiv.Result.Author('J. Alves'), arxiv.Result.Author('F. Anders'), arxiv.Result.Author('R. I. Anderson'), arxiv.Result.Author('E. Anglada Varela'), arxiv.Result.Author('D. Baines'), arxiv.Result.Author('S. G. Baker'), arxiv.Result.Author('L. Balaguer-Núñez'), arxiv.Result.Author('E. Balbinot'), arxiv.Result.Author('Z. Balog'), arxiv.Result.Author('C. Barache'), arxiv.Result.Author('D. Barbato'), arxiv.Result.Author('M. Barros'), arxiv.Result.Author('M. A. Barstow'), arxiv.Result.Author('S. Bartolomé'), arxiv.Result.Author('J. -L. Bassilana'), arxiv.Result.Author('N. Bauchet'), arxiv.Result.Author('U. Becciani'), arxiv.Result.Author('M. Bellazzini'), arxiv.Result.Author('A. Berihuete'), arxiv.Result.Author('M. Bernet'), arxiv.Result.Author('S. Bertone'), arxiv.Result.Author('L. Bianchi'), arxiv.Result.Author('A. Binnenfeld'), arxiv.Result.Author('S. Blanco-Cuaresma'), arxiv.Result.Author('T. Boch'), arxiv.Result.Author('A. Bombrun'), arxiv.Result.Author('D. Bossini'), arxiv.Result.Author('S. Bouquillon'), arxiv.Result.Author('L. Bramante'), arxiv.Result.Author('E. Breedt'), arxiv.Result.Author('A. Bressan'), arxiv.Result.Author('N. Brouillet'), arxiv.Result.Author('E. Brugaletta'), arxiv.Result.Author('B. Bucciarelli'), arxiv.Result.Author('A. Burlacu'), arxiv.Result.Author('A. G. Butkevich'), arxiv.Result.Author('R. Buzzi'), arxiv.Result.Author('E. Caffau'), arxiv.Result.Author('R. Cancelliere'), arxiv.Result.Author('R. Carballo'), arxiv.Result.Author('T. Carlucci'), arxiv.Result.Author('M. I. Carnerero'), arxiv.Result.Author('J. M. Carrasco'), arxiv.Result.Author('M. Castellani'), arxiv.Result.Author('A. Castro-Ginard'), arxiv.Result.Author('L. Chaoul'), arxiv.Result.Author('P. Charlot'), arxiv.Result.Author('L. Chemin'), arxiv.Result.Author('V. Chiaramida'), arxiv.Result.Author('A. Chiavassa'), arxiv.Result.Author('N. Chornay'), arxiv.Result.Author('G. Comoretto'), arxiv.Result.Author('G. Contursi'), arxiv.Result.Author('W. J. Cooper'), arxiv.Result.Author('T. Cornez'), arxiv.Result.Author('S. Cowell'), arxiv.Result.Author('F. Crifo'), arxiv.Result.Author('M. Crosta'), arxiv.Result.Author('C. Crowley'), arxiv.Result.Author('C. Dafonte'), arxiv.Result.Author('A. Dapergolas'), arxiv.Result.Author('P. David'), arxiv.Result.Author('F. De Luise'), arxiv.Result.Author('R. De March'), arxiv.Result.Author('J. De Ridder'), arxiv.Result.Author('R. de Souza'), arxiv.Result.Author('A. de Torres'), arxiv.Result.Author('E. F. del Peloso'), arxiv.Result.Author('E. del Pozo'), arxiv.Result.Author('M. Delbo'), arxiv.Result.Author('A. Delgado'), arxiv.Result.Author('J. -B. Delisle'), arxiv.Result.Author('C. Demouchy'), arxiv.Result.Author('T. E. Dharmawardena'), arxiv.Result.Author('P. Di Matteo'), arxiv.Result.Author('S. Diakite'), arxiv.Result.Author('C. Diener'), arxiv.Result.Author('E. Distefano'), arxiv.Result.Author('C. Dolding'), arxiv.Result.Author('B. Edvardsson'), arxiv.Result.Author('H. Enke'), arxiv.Result.Author('C. Fabre'), arxiv.Result.Author('M. Fabrizio'), arxiv.Result.Author('S. Faigler'), arxiv.Result.Author('G. Fedorets'), arxiv.Result.Author('P. Fernique'), arxiv.Result.Author('F. Figueras'), arxiv.Result.Author('Y. Fournier'), arxiv.Result.Author('C. Fouron'), arxiv.Result.Author('F. Fragkoudi'), arxiv.Result.Author('M. Gai'), arxiv.Result.Author('A. Garcia-Gutierrez'), arxiv.Result.Author('M. Garcia-Reinaldos'), arxiv.Result.Author('M. García-Torres'), arxiv.Result.Author('A. Garofalo'), arxiv.Result.Author('A. Gavel'), arxiv.Result.Author('P. Gavras'), arxiv.Result.Author('E. Gerlach'), arxiv.Result.Author('R. Geyer'), arxiv.Result.Author('P. Giacobbe'), arxiv.Result.Author('G. Gilmore'), arxiv.Result.Author('S. Girona'), arxiv.Result.Author('G. Giuffrida'), arxiv.Result.Author('R. Gomel'), arxiv.Result.Author('A. Gomez'), arxiv.Result.Author('J. González-Núñez'), arxiv.Result.Author('I. González-Santamaría'), arxiv.Result.Author('J. J. González-Vidal'), arxiv.Result.Author('M. Granvik'), arxiv.Result.Author('P. Guillout'), arxiv.Result.Author('J. Guiraud'), arxiv.Result.Author('R. Gutiérrez-Sánchez'), arxiv.Result.Author('L. P. Guy'), arxiv.Result.Author('D. Hatzidimitriou'), arxiv.Result.Author('M. Hauser'), arxiv.Result.Author('M. Haywood'), arxiv.Result.Author('A. Helmer'), arxiv.Result.Author('A. Helmi'), arxiv.Result.Author('M. H. Sarmiento'), arxiv.Result.Author('S. L. Hidalgo'), arxiv.Result.Author('N. Hładczuk'), arxiv.Result.Author('D. Hobbs'), arxiv.Result.Author('G. Holland'), arxiv.Result.Author('H. E. Huckle'), arxiv.Result.Author('K. Jardine'), arxiv.Result.Author('G. Jasniewicz'), arxiv.Result.Author('A. Jean-Antoine Piccolo'), arxiv.Result.Author('Ó. Jiménez-Arranz'), arxiv.Result.Author('J. Juaristi Campillo'), arxiv.Result.Author('F. Julbe'), arxiv.Result.Author('L. Karbevska'), arxiv.Result.Author('P. Kervella'), arxiv.Result.Author('S. Khanna'), arxiv.Result.Author('A. J. Korn'), arxiv.Result.Author('Á Kóspál'), arxiv.Result.Author('Z. Kostrzewa-Rutkowska'), arxiv.Result.Author('K. Kruszyńska'), arxiv.Result.Author('M. Kun'), arxiv.Result.Author('P. Laizeau'), arxiv.Result.Author('S. Lambert'), arxiv.Result.Author('A. F. Lanza'), arxiv.Result.Author('Y. Lasne'), arxiv.Result.Author('J. -F. Le Campion'), arxiv.Result.Author('Y. Lebreton'), arxiv.Result.Author('T. Lebzelter'), arxiv.Result.Author('S. Leccia'), arxiv.Result.Author('N. Leclerc'), arxiv.Result.Author('I. Lecoeur-Taibi'), arxiv.Result.Author('S. Liao'), arxiv.Result.Author('E. L. Licata'), arxiv.Result.Author('H. E. P. Lindstrøm'), arxiv.Result.Author('T. A. Lister'), arxiv.Result.Author('E. Livanou'), arxiv.Result.Author('A. Lobel'), arxiv.Result.Author('A. Lorca'), arxiv.Result.Author('C. Loup'), arxiv.Result.Author('P. Madrero Pardo'), arxiv.Result.Author('A. Magdaleno Romeo'), arxiv.Result.Author('S. Managau'), arxiv.Result.Author('R. G. Mann'), arxiv.Result.Author('M. Manteiga'), arxiv.Result.Author('J. M. Marchant'), arxiv.Result.Author('M. Marconi'), arxiv.Result.Author('J. Marcos'), arxiv.Result.Author('M. M. S. Marcos Santos'), arxiv.Result.Author('D. Marín Pina'), arxiv.Result.Author('S. Marinoni'), arxiv.Result.Author('F. Marocco'), arxiv.Result.Author('D. J. Marshall'), arxiv.Result.Author('L. Martin Polo'), arxiv.Result.Author('J. M. Martín-Fleitas'), arxiv.Result.Author('G. Marton'), arxiv.Result.Author('N. Mary'), arxiv.Result.Author('A. Masip'), arxiv.Result.Author('D. Massari'), arxiv.Result.Author('A. Mastrobuono-Battisti'), arxiv.Result.Author('T. Mazeh'), arxiv.Result.Author('S. Messina'), arxiv.Result.Author('D. Michalik'), arxiv.Result.Author('N. R. Millar'), arxiv.Result.Author('A. Mints'), arxiv.Result.Author('D. Molina'), arxiv.Result.Author('R. Molinaro'), arxiv.Result.Author('L. Molnár'), arxiv.Result.Author('G. Monari'), arxiv.Result.Author('M. Monguió'), arxiv.Result.Author('P. Montegriffo'), arxiv.Result.Author('A. Montero'), arxiv.Result.Author('R. Mor'), arxiv.Result.Author('A. Mora'), arxiv.Result.Author('R. Morbidelli'), arxiv.Result.Author('T. Morel'), arxiv.Result.Author('D. Morris'), arxiv.Result.Author('T. Muraveva'), arxiv.Result.Author('C. P. Murphy'), arxiv.Result.Author('I. Musella'), arxiv.Result.Author('Z. Nagy'), arxiv.Result.Author('L. Noval'), arxiv.Result.Author('F. Ocaña'), arxiv.Result.Author('A. Ogden'), arxiv.Result.Author('C. Ordenovic'), arxiv.Result.Author('J. O. Osinde'), arxiv.Result.Author('C. Pagani'), arxiv.Result.Author('I. Pagano'), arxiv.Result.Author('L. Palaversa'), arxiv.Result.Author('L. Pallas-Quintela'), arxiv.Result.Author('A. Panahi'), arxiv.Result.Author('S. Payne-Wardenaar'), arxiv.Result.Author('X. Peñalosa Esteller'), arxiv.Result.Author('A. Penttilä'), arxiv.Result.Author('B. Pichon'), arxiv.Result.Author('A. M. Piersimoni'), arxiv.Result.Author('F. -X. Pineau'), arxiv.Result.Author('E. Plachy'), arxiv.Result.Author('G. Plum'), arxiv.Result.Author('A. Prša'), arxiv.Result.Author('L. Pulone'), arxiv.Result.Author('E. Racero'), arxiv.Result.Author('S. Ragaini'), arxiv.Result.Author('M. Rainer'), arxiv.Result.Author('C. M. Raiteri'), arxiv.Result.Author('P. Ramos'), arxiv.Result.Author('M. Ramos-Lerate'), arxiv.Result.Author('S. Regibo'), arxiv.Result.Author('P. J. Richards'), arxiv.Result.Author('C. Rios Diaz'), arxiv.Result.Author('V. Ripepi'), arxiv.Result.Author('A. Riva'), arxiv.Result.Author('H. -W. Rix'), arxiv.Result.Author('G. Rixon'), arxiv.Result.Author('N. Robichon'), arxiv.Result.Author('A. C. Robin'), arxiv.Result.Author('C. Robin'), arxiv.Result.Author('M. Roelens'), arxiv.Result.Author('H. R. O. Rogues'), arxiv.Result.Author('L. Rohrbasser'), arxiv.Result.Author('M. Romero-Gómez'), arxiv.Result.Author('N. Rowell'), arxiv.Result.Author('F. Royer'), arxiv.Result.Author('D. Ruz Mieres'), arxiv.Result.Author('K. A. Rybicki'), arxiv.Result.Author('G. Sadowski'), arxiv.Result.Author('A. Sáez Núñez'), arxiv.Result.Author('A. Sagristà Sellés'), arxiv.Result.Author('J. Sahlmann'), arxiv.Result.Author('E. Salguero'), arxiv.Result.Author('N. Samaras'), arxiv.Result.Author('V. Sanchez Gimenez'), arxiv.Result.Author('N. Sanna'), arxiv.Result.Author('R. Santoveña'), arxiv.Result.Author('M. Sarasso'), arxiv.Result.Author('M. Schultheis'), arxiv.Result.Author('E. Sciacca'), arxiv.Result.Author('M. Segol'), arxiv.Result.Author('J. C. Segovia'), arxiv.Result.Author('D. Ségransan'), arxiv.Result.Author('D. Semeux'), arxiv.Result.Author('S. Shahaf'), arxiv.Result.Author('H. I. Siddiqui'), arxiv.Result.Author('A. Siebert'), arxiv.Result.Author('L. Siltala'), arxiv.Result.Author('A. Silvelo'), arxiv.Result.Author('E. Slezak'), arxiv.Result.Author('I. Slezak'), arxiv.Result.Author('R. L. Smart'), arxiv.Result.Author('O. N. Snaith'), arxiv.Result.Author('E. Solano'), arxiv.Result.Author('F. Solitro'), arxiv.Result.Author('D. Souami'), arxiv.Result.Author('J. Souchay'), arxiv.Result.Author('F. Spoto'), arxiv.Result.Author('I. A. Steele'), arxiv.Result.Author('H. Steidelmüller'), arxiv.Result.Author('C. A. Stephenson'), arxiv.Result.Author('M. Süveges'), arxiv.Result.Author('J. Surdej'), arxiv.Result.Author('L. Szabados'), arxiv.Result.Author('E. Szegedi-Elek'), arxiv.Result.Author('F. Taris'), arxiv.Result.Author('M. B. Taylor'), arxiv.Result.Author('R. Teixeira'), arxiv.Result.Author('L. Tolomei'), arxiv.Result.Author('N. Tonello'), arxiv.Result.Author('F. Torra'), arxiv.Result.Author('J. Torra'), arxiv.Result.Author('G. Torralba Elipe'), arxiv.Result.Author('M. Trabucchi'), arxiv.Result.Author('A. T. Tsounis'), arxiv.Result.Author('C. Turon'), arxiv.Result.Author('A. Ulla'), arxiv.Result.Author('N. Unger'), arxiv.Result.Author('M. V. Vaillant'), arxiv.Result.Author('E. van Dillen'), arxiv.Result.Author('W. van Reeven'), arxiv.Result.Author('O. Vanel'), arxiv.Result.Author('A. Vecchiato'), arxiv.Result.Author('Y. Viala'), arxiv.Result.Author('D. Vicente'), arxiv.Result.Author('S. Voutsinas'), arxiv.Result.Author('M. Weiler'), arxiv.Result.Author('T. Wevers'), arxiv.Result.Author('Ł. Wyrzykowski'), arxiv.Result.Author('A. Yoldas'), arxiv.Result.Author('P. Yvard'), arxiv.Result.Author('H. Zhao'), arxiv.Result.Author('J. Zorec'), arxiv.Result.Author('S. Zucker'), arxiv.Result.Author('T. Zwitter')]","Astronomy and Astrophysics (accepted, in press)",2022-06-11 13:55:08+00:00,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202244242,"[arxiv.Result.Author('L. Eyer'), arxiv.Result.Author('M. Audard'), arxiv.Result.Author('B. Holl'), arxiv.Result.Author('L. Rimoldini'), arxiv.Result.Author('M. I. Carnerero'), arxiv.Result.Author('G. Clementini'), arxiv.Result.Author('J. De Ridder'), arxiv.Result.Author('E. Distefano'), arxiv.Result.Author('D. W. Evans'), arxiv.Result.Author('P. Gavras'), arxiv.Result.Author('R. Gomel'), arxiv.Result.Author('T. Lebzelter'), arxiv.Result.Author('G. Marton'), arxiv.Result.Author('N. Mowlavi'), arxiv.Result.Author('A. Panahi'), arxiv.Result.Author('V. Ripepi'), arxiv.Result.Author('L. Wyrzykowski'), arxiv.Result.Author('K. Nienartowicz'), arxiv.Result.Author('G. Jevardat de Fombelle'), arxiv.Result.Author('I. Lecoeur-Taibi'), arxiv.Result.Author('L. Rohrbasser'), arxiv.Result.Author('M. Riello'), arxiv.Result.Author('P. Garcia-Lario'), arxiv.Result.Author('A. C. Lanzafame'), arxiv.Result.Author('T. Mazeh'), arxiv.Result.Author('C. M. Raiteri'), arxiv.Result.Author('S. Zucker'), arxiv.Result.Author('P. Abraham'), arxiv.Result.Author('C. Aerts'), arxiv.Result.Author('J. J. Aguado'), arxiv.Result.Author('R. I. Anderson'), arxiv.Result.Author('D. Bashi'), arxiv.Result.Author('A. Binnenfeld'), arxiv.Result.Author('S. Faigler'), arxiv.Result.Author('A. Garofalo'), arxiv.Result.Author('L. Karbevska'), arxiv.Result.Author('A. Kospal'), arxiv.Result.Author('K. Kruszynska'), arxiv.Result.Author('M. Kun'), arxiv.Result.Author('A. F. Lanza'), arxiv.Result.Author('S. Leccia'), arxiv.Result.Author('M. Marconi'), arxiv.Result.Author('S. Messina'), arxiv.Result.Author('R. Molinaro'), arxiv.Result.Author('L. Molnar'), arxiv.Result.Author('T. Muraveva'), arxiv.Result.Author('I. Musella'), arxiv.Result.Author('Z. Nagy'), arxiv.Result.Author('I. Pagano'), arxiv.Result.Author('L. Palaversa'), arxiv.Result.Author('E. Plachy'), arxiv.Result.Author('K. A. Rybicki'), arxiv.Result.Author('S. Shahaf'), arxiv.Result.Author('L. Szabados'), arxiv.Result.Author('E. Szegedi-Elek'), arxiv.Result.Author('M. Trabucchi'), arxiv.Result.Author('F. Barblan'), arxiv.Result.Author('M. Roelens')]","18 pages, 12 figures, submitted to Astronomy & Astrophysics",2022-06-13 18:51:34+00:00,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
